22302636,05/08/2018,107412735341                            ,017867,038889,00  ,1685.59         ,S  ,P  
22418350,05/08/2018,107412945620                            ,454655,853173,00  ,159.00          ,S  ,P  
22418350,05/08/2018,107412947516                            ,454658,T46897,00  ,449.00          ,S  ,P  
22302636,05/08/2018,107412732627                            ,017865,051990,00  ,1320.00         ,S  ,P  
22302636,05/08/2018,CCAFH1KVQ264                            ,567162,422801,00  ,365.00          ,S  ,P  
22418350,05/08/2018,107412946798                            ,454657,834031,00  ,130.00          ,S  ,P  
22418350,05/08/2018,107412948078                            ,454659,050438,00  ,260.00          ,S  ,P  
22302636,05/08/2018,107412735259                            ,017868,039174,00  ,1265.63         ,S  ,P  
22302636,05/08/2018,107412735621                            ,017869,052088,00  ,199.00          ,S  ,P  
22418350,05/08/2018,107412949033                            ,454661,244840,00  ,339.00          ,S  ,P  
22418350,05/08/2018,107412951100                            ,454663,041347,00  ,250.00          ,S  ,P  
22302636,05/08/2018,107412735645                            ,017870,039245,00  ,274.00          ,S  ,P  
22302636,05/08/2018,107412737128                            ,017871,446632,00  ,99.00           ,S  ,P  
22418350,05/08/2018,107412950648                            ,454662,045049,00  ,187.00          ,S  ,P  
22302636,05/08/2018,CCAFH2KVQ209                            ,567107,991132,00  ,2145.00         ,S  ,P  
22418350,05/08/2018,107412549248                            ,454420,077039,00  ,498.00          ,S  ,P  
22302636,05/08/2018,107412560550                            ,017552,490491,00  ,1784.54         ,S  ,P  
22418350,05/08/2018,107412595608                            ,454442,016575,00  ,102.00          ,S  ,P  
22418350,05/08/2018,107412951832                            ,454664,T50319,00  ,199.00          ,S  ,P  
22302636,05/08/2018,107412737274                            ,017872,102069,00  ,500.00          ,S  ,P  
22302636,05/08/2018,107412738048                            ,017875,039943,00  ,707.00          ,S  ,P  
22418350,05/08/2018,107412954938                            ,454667,000000,54  ,241.00          ,N  ,P  
22302636,05/08/2018,107412736678                            ,017876,446794,00  ,880.00          ,S  ,P  
22418350,05/08/2018,107412954237                            ,454666,T08664,00  ,50.00           ,S  ,P  
22302636,05/08/2018,107412737769                            ,017873,052484,00  ,5000.00         ,S  ,P  
22418350,05/08/2018,107412957621                            ,454670,000000,57  ,40.00           ,N  ,P  
22302636,05/08/2018,107412738271                            ,017877,106236,00  ,500.00          ,S  ,P  
22418350,05/08/2018,107412958499                            ,454672,262802,00  ,201.00          ,S  ,P  
22302636,05/08/2018,CCAFH1KVQ267                            ,567165,508638,00  ,5377.00         ,S  ,P  
22418350,05/08/2018,107412958626                            ,454673,SM4768,00  ,18.00           ,S  ,P  
22418350,05/08/2018,107412957177                            ,454671,426829,00  ,50.00           ,S  ,P  
22302636,05/08/2018,107412740124                            ,017878,638347,51  ,111.00          ,N  ,P  
22418350,05/08/2018,107412960015                            ,454674,086361,00  ,300.00          ,S  ,P  
22302636,05/08/2018,107412740295                            ,017879,508738,00  ,8605.34         ,S  ,P  
22302636,05/08/2018,107412740474                            ,017880,106379,00  ,46.00           ,S  ,P  
22418350,05/08/2018,107412960565                            ,454675,SO4799,00  ,150.00          ,S  ,P  
22418350,05/08/2018,107412964416                            ,454677,037141,00  ,50.00           ,S  ,P  
22302636,05/08/2018,107412741004                            ,017881,102458,00  ,5191.00         ,S  ,P  
22302636,05/08/2018,107412560853                            ,017554,034582,00  ,492.05          ,S  ,P  
22418350,05/08/2018,107412599427                            ,454443,091293,00  ,99.00           ,S  ,P  
22418350,05/08/2018,107412964797                            ,454678,397193,00  ,252.00          ,S  ,P  
22302636,05/08/2018,107412741161                            ,017883,102547,00  ,300.00          ,S  ,P  
22302636,05/08/2018,107412741518                            ,017882,638398,51  ,111.00          ,N  ,P  
22418350,05/08/2018,107412966438                            ,454679,000000,57  ,520.00          ,N  ,P  
22418350,05/08/2018,107412967885                            ,454680,094485,00  ,52.00           ,V  ,P  
22302636,05/08/2018,107412743518                            ,017886,042171,00  ,800.00          ,S  ,P  
22418350,05/08/2018,107412969049                            ,454681,069187,00  ,52.00           ,V  ,P  
22302636,05/08/2018,107412744599                            ,017887,053320,00  ,10000.00        ,S  ,P  
22418350,05/08/2018,107412968893                            ,454682,036255,00  ,180.00          ,V  ,P  
22302636,05/08/2018,107412745978                            ,017889,042927,00  ,7680.00         ,S  ,P  
22418350,05/08/2018,107412970420                            ,454683,879238,00  ,177.00          ,V  ,P  
22302636,05/08/2018,107412747048                            ,017891,509745,00  ,3797.00         ,S  ,P  
22302636,05/08/2018,107412747968                            ,017895,053798,00  ,150.00          ,S  ,P  
22418350,05/08/2018,107412971515                            ,454685,T65263,00  ,195.00          ,V  ,P  
22302636,05/08/2018,107412748485                            ,017896,043856,00  ,1910.00         ,S  ,P  
